latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-2.611,140.676,317.8,1.7,1.3,1/29/2021,120,T,20,6.0NRT,295.7,18.4,D
11.794,104.114,310.1,4.2,1.9,1/29/2021,300,T,63,6.0NRT,287.1,30.9,D
11.502,106.604,311.7,2.7,1.6,1/29/2021,300,T,67,6.0NRT,288.7,25.7,D
10.923,106.876,316.9,2.5,1.5,1/29/2021,300,T,63,6.0NRT,293.8,27.6,D
10.92,106.899,315.9,2.5,1.5,1/29/2021,300,T,71,6.0NRT,293.5,24.1,D
11.146,104.306,325,4,1.9,1/29/2021,300,T,81,6.0NRT,283.2,133,D
11.141,104.298,322.9,4,1.9,1/29/2021,300,T,79,6.0NRT,283.4,126.7,D
6.105,116.203,314.6,1.3,1.1,1/29/2021,300,T,26,6.0NRT,297,8.9,D
30.335,121.262,300.2,1.1,1.1,1/29/2021,250,T,0,6.0NRT,285.3,4.9,D
30.163,121.127,306.5,1.1,1.1,1/29/2021,250,T,64,6.0NRT,285,9.2,D
29.802,120.833,301.9,1.1,1.1,1/29/2021,250,T,49,6.0NRT,285,6.4,D
28.034,120.324,300.7,1.1,1.1,1/29/2021,255,T,41,6.0NRT,283.7,7.6,D
28.228,114.337,303.2,1.3,1.1,1/29/2021,255,T,55,6.0NRT,285.3,10.7,D
27.564,118.816,309.8,1,1,1/29/2021,255,T,60,6.0NRT,287.4,9.7,D
27.555,118.814,312.4,1,1,1/29/2021,255,T,71,6.0NRT,287.3,11.8,D
28.095,114.76,302.4,1.2,1.1,1/29/2021,255,T,52,6.0NRT,285.2,8.3,D
28.093,114.766,302,1.2,1.1,1/29/2021,255,T,50,6.0NRT,285.9,7.8,D
27.542,117.922,322.7,1,1,1/29/2021,255,T,82,6.0NRT,287.3,22,D
27.524,117.918,305,1,1,1/29/2021,255,T,35,6.0NRT,285.9,6.7,D
27.894,114.647,301.3,1.2,1.1,1/29/2021,255,T,43,6.0NRT,285.1,7.6,D
27.377,118.162,303.7,1,1,1/29/2021,255,T,57,6.0NRT,285.9,7.1,D
27.246,118.177,320.6,1,1,1/29/2021,255,T,80,6.0NRT,285.1,20.6,D
27.141,118.684,313.5,1,1,1/29/2021,255,T,74,6.0NRT,285.9,14,D
27.199,117.743,300.9,1,1,1/29/2021,255,T,42,6.0NRT,285.5,5.7,D
27.118,118.106,312.1,1,1,1/29/2021,255,T,72,6.0NRT,285.3,12.8,D
26.976,117.378,312.7,1,1,1/29/2021,255,T,73,6.0NRT,284.8,12.6,D
26.967,117.376,331.6,1,1,1/29/2021,255,T,87,6.0NRT,286.3,32.1,D
